babela	babel'a
babelo	babel'o
babelon	babel'o'n
babelturo	babel'tur'o
babilas	babil'as
babili	babil'i
babilis	babil'is
babilo	babil'o
babilos	babil'os
babilu	babil'u
babilaĉas	babil'aĉ'as
babilaĉi	babil'aĉ'i
babilaĉis	babil'aĉ'is
babilaĉo	babil'aĉ'o
babiladas	babil'ad'as
babiladi	babil'ad'i
babiladis	babil'ad'is
babilado	babil'ad'o
babiladoj	babil'ad'o'j
babiladojn	babil'ad'o'j'n
babiladon	babil'ad'o'n
babilaĵo	babil'aĵ'o
babilantaj	babil'ant'a'j
babilante	babil'ant'e
babilejo	babil'ej'o
babilejoj	babil'ej'o'j
babilejon	babil'ej'o'n
babilema	babil'em'a
babilemaj	babil'em'a'j
babilemulo	babil'em'ul'o
babileti	babil'et'i
babilulo	babil'ul'o
babilumado	babil'um'ad'o
babilona	babilon'a
babilonaj	babilon'a'j
babilonan	babilon'a'n
babilono	babilon'o
babilonon	babilon'o'n
babilonanoj	babilon'an'o'j
babilonio	babilon'i'o
baborda	babord'a
babordo	babord'o
bacilo	bacil'o
badmintono	badminton'o
bagaĝo	bagaĝ'o
bagaĝon	bagaĝ'o'n
bagaĝujo	bagaĝ'uj'o
bagatela	bagatel'a
bagatelaj	bagatel'a'j
bagatelan	bagatel'a'n
bagatele	bagatel'e
bagatelo	bagatel'o
bagateloj	bagatel'o'j
bagatelojn	bagatel'o'j'n
bagatelon	bagatel'o'n
bagatelaĵo	bagatel'aĵ'o
bagatelaĵoj	bagatel'aĵ'o'j
bagateligas	bagatel'ig'as
bagateligi	bagatel'ig'i
bagdada	bagdad'a
bagdado	bagdad'o
bagdadon	bagdad'o'n
bahaa	baha'a
bahaaj	baha'a'j
bahaan	baha'a'n
bahaanoj	baha'an'o'j
bahaismo	baha'ism'o
bahamoj	baham'o'j
bajkala	bajkal'a
bajkalo	bajkal'o
bajoneto	bajonet'o
bajonetoj	bajonet'o'j
bajto	bajt'o
bajtoj	bajt'o'j
bakas	bak'as
baki	bak'i
bakis	bak'is
bako	bak'o
bakos	bak'os
baku	bak'u
bakado	bak'ad'o
bakaĵo	bak'aĵ'o
bakaĵoj	bak'aĵ'o'j
bakaĵojn	bak'aĵ'o'j'n
bakanta	bak'ant'a
bakejo	bak'ej'o
bakejoj	bak'ej'o'j
bakforno	bak'forn'o
bakisto	bak'ist'o
bakistoj	bak'ist'o'j
bakita	bak'it'a
bakitaj	bak'it'a'j
bakitan	bak'it'a'n
bakujo	bak'uj'o
bakujoj	bak'uj'o'j
bakalaŭra	bakalaŭr'a
